Pi_Timestamp,Pixhawk_Hardware_Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Q_X,Q_Y,Q_Z,Q_W
1777656471.6598494,1777656471.6553133,1.2944778000000001,-0.1667130500000011,-9.0809579,-0.9120825529098511,-0.4340933263301846,2.732957601547241,-0.9938365447728743,-0.01908420560978674,-0.06838768939901077,-0.08513424286867483
1777656471.6803107,1777656471.6753132,1.4709975,0.7060787999999989,-9.2967042,-0.6380305290222168,-0.24432079493999448,2.814976930618286,-0.9937939856340561,0.007579966294346934,-0.07370595818224074,-0.08296680032996367
1777656471.7012093,1777656471.6963131,1.46119085,1.0787314999999988,-9.65955025,-0.3912765681743622,-0.018725521862506513,2.8873841762542725,-0.9926849849632328,0.03400079854408051,-0.08245004103563928,-0.08137848032577555
1777656471.7216213,1777656471.7163131,1.6279039,1.0100849499999986,-9.77723005,-0.2380547970533371,0.26194050908088723,2.9776182174682617,-0.9900404217739404,0.06383514331687495,-0.09561502273427738,-0.08125764677195459
1777656471.7636094,1777656471.7553132,2.24572285,0.5982056499999988,-9.48303055,-0.16806484758853912,0.7748272418975835,3.3073277473449707,-0.9811892949646617,0.1304912420006351,-0.11904027336944804,-0.07790389286812684
1777656471.7824914,1777656471.7763133,2.157463,-0.029419950000001107,-9.0417313,-0.11570949107408524,0.838177859783173,3.509413719177246,-0.9754174086239187,0.1667359947620335,-0.12571533799641318,-0.07039631237900298
1777656471.8023763,1777656471.7963133,1.9417167,-0.15690640000000114,-9.36535075,-0.004535902291536331,0.7743539810180669,3.7609951496124268,-0.9679323062055647,0.20593896989240423,-0.13067105134108625,-0.060176969221186406
1777656471.8200731,1777656471.8163133,1.75539035,-0.6374322500000013,-9.80665,0.15755417943000793,0.616896510124207,4.075377941131592,-0.9583708959509487,0.24807626731114463,-0.1337242604136358,-0.04583899614925508
1777656471.8620863,1777656471.855326,1.4709975,-1.5200307500000012,-9.77723005,0.6282219886779785,0.27191621065139826,4.738561630249023,0.9309516024364872,-0.3358278042392152,0.14293870843435727,0.010831687399545558
1777656471.881278,1777656471.875326,2.2555295,-0.6472389000000013,-9.87529655,0.7566745281219482,0.21040919423103394,4.94973087310791,0.9146304745270637,-0.376199223991416,0.1480600082653922,0.0018635683798810952
1777656471.9002013,1777656471.896326,2.9027684000000002,0.019613299999998807,-9.73800345,0.6731315851211548,0.24277301132679047,4.996654987335205,0.8998561713486332,-0.4086821221099186,0.15243476792881175,0.00119811518736497
1777656471.924027,1777656471.916326,3.46174745,0.09806649999999885,-9.4536106,0.44363418221473694,0.3272291719913489,4.852804660797119,0.8868240149630131,-0.4349281324316455,0.15613048492871165,0.0019894170824063654
1777656471.9614398,1777656471.9553387,4.0403398,-0.8531785500000011,-9.09076455,-0.11045707762241364,0.40600574016571095,3.9394829273223877,0.870460175689669,-0.4669671023503991,0.1553854221658373,0.009807060677215275
1777656471.981198,1777656471.9753387,4.42279915,-1.8240369000000012,-8.71811185,-0.4132169485092163,0.37981581687927285,3.2938311100006104,0.8659831576377736,-0.47601709145984383,0.15205308916865481,0.01899361471891887
1777656472.002635,1777656471.9963388,3.67749375,-1.245444550000001,-9.36535075,-0.6971648931503296,0.32228466868400607,2.6371681690216064,0.8616040913572923,-0.48511678114874024,0.14689631819813323,0.026862056959454993
1777656472.020641,1777656472.0163388,2.5889556000000002,-0.9610517000000013,-9.83606995,-0.8867427110671997,0.19406861066818262,2.035637617111206,0.858382553840425,-0.4927394081950419,0.1395638863704928,0.030152752696123834
1777656472.0605156,1777656472.0553524,1.91229675,-1.382737650000001,-9.85568325,-0.871918797492981,-0.2267415821552275,1.2683892250061035,0.8527411062598621,-0.5068916554676433,0.1227996412431396,0.028525487244475584
1777656472.0810065,1777656472.0753524,1.79461695,-1.7259704000000011,-9.7870367,-0.799402117729187,-0.431066334247589,1.0770734548568726,0.8494383933905562,-0.5144992820821126,0.11347404110266879,0.029471114110115135
1777656472.1005254,1777656472.0963523,1.89268345,-1.4513842000000012,-9.6889702,-0.749921441078186,-0.554703116416931,0.9715511798858644,0.8457863578017136,-0.521913455811708,0.10599252760343636,0.03189617048215227
1777656472.1202369,1777656472.1163523,2.12804305,-1.2552512000000011,-9.3555441,-0.7197244167327881,-0.5641630887985228,0.8978633284568788,0.8427982589178369,-0.5273339109806652,0.1015928496025063,0.03590172704121011
1777656472.1666596,1777656472.1553524,2.2751428000000002,-1.235637900000001,-9.2574776,-0.7100361585617065,-0.2908453941345214,0.7399448156356812,0.8376404025139945,-0.5351650400126685,0.09801925427556057,0.04846815259214544
